date,product_id,category,units_sold,units_ordered,price,discount(%),weather,season,demand,promotion,holiday,product_name,sales,year,month,quarter,dayofweek,weekofyear,is_holiday_season,promotion_flag,lag_1,rolling_mean_7,rolling_mean_30,growth_rate
2022-03-06,P040,Sweets,2,5,600,0,Sunny,Summer,Low,No,Yes,Adidas Originals Hoodie,1200.0,2022,3,2022Q1,6,9,0,0,700.0,9910.142857142857,8550.636363636364,0.7142857142857142
2022-03-07,P038,Utilities,5,7,450,0,Hot,Summer,High,No,No,Adidas Originals Hoodie,2250.0,2022,3,2022Q1,0,10,0,0,1200.0,7447.714285714285,8025.583333333333,0.875
2022-03-08,P025,Clothes,19,22,250,0,Hot,Summer,High,No,Yes,Adidas Originals Hoodie,4750.0,2022,3,2022Q1,1,10,0,0,2250.0,5983.428571428572,7773.615384615385,1.1111111111111112
2022-03-14,P009,Hot Beverages,4,7,120,0,Hot,Summer,Low,No,No,Adidas Originals Hoodie,480.0,2022,3,2022Q1,0,11,0,0,4750.0,4852.0,7252.642857142857,-0.8989473684210526
2022-03-21,P034,Stationary,6,8,1200,0,Sunny,Summer,Medium,No,No,Adidas Originals Hoodie,7200.0,2022,3,2022Q1,0,12,0,0,480.0,5794.857142857143,7249.133333333333,14.0
2022-03-27,P021,Travel Necessaries,1,3,700,0,Sunny,Summer,Low,No,Yes,Adidas Originals Hoodie,700.0,2022,3,2022Q1,6,12,0,0,7200.0,2468.5714285714284,6839.8125,-0.9027777777777778
2022-03-27,P024,Sweets,19,22,400,10,Sunny,Summer,High,Yes,Yes,Adidas Originals Hoodie,6840.0,2022,3,2022Q1,6,12,0,1,700.0,3345.714285714286,6839.823529411765,8.771428571428572
2022-04-01,P021,Travel Necessaries,2,4,700,0,Sunny,Summer,Medium,No,No,Adidas Originals Hoodie,1400.0,2022,4,2022Q2,4,13,0,0,6840.0,3374.285714285714,6537.611111111111,-0.7953216374269005
2022-04-06,P013,Utilities,4,5,300,0,Sunny,Summer,High,No,No,Adidas Originals Hoodie,1200.0,2022,4,2022Q2,2,14,0,0,1400.0,3224.285714285714,6256.684210526316,-0.1428571428571429
2022-04-07,P022,Travel Necessaries,2,3,2500,0,Humid,Summer,Medium,No,No,Adidas Originals Hoodie,5000.0,2022,4,2022Q2,3,14,0,0,1200.0,3260.0,6193.85,3.166666666666667
2022-04-12,P020,Stationary,8,11,50,0,Humid,Summer,Medium,No,No,Adidas Originals Hoodie,400.0,2022,4,2022Q2,1,15,0,0,5000.0,3248.5714285714284,5917.952380952381,-0.92
2022-04-13,P021,Travel Necessaries,2,2,700,0,Hot,Summer,Medium,No,No,Adidas Originals Hoodie,1400.0,2022,4,2022Q2,2,15,0,0,400.0,2420.0,5712.590909090909,2.5
2022-04-13,P036,Beauty,3,4,899,0,Hot,Summer,Medium,No,No,Adidas Originals Hoodie,2697.0,2022,4,2022Q2,2,15,0,0,1400.0,2705.285714285714,5581.478260869565,0.9264285714285714
2022-04-17,P010,Hot Beverages,6,9,180,0,Hot,Summer,Medium,No,Yes,Adidas Originals Hoodie,1080.0,2022,4,2022Q2,6,15,0,0,2697.0,1882.4285714285713,5393.916666666667,-0.5995550611790879
2022-04-27,P016,Utilities,1,2,35000,0,Hot,Summer,Low,No,No,Adidas Originals Hoodie,35000.0,2022,4,2022Q2,2,17,0,0,1080.0,6682.428571428572,6578.16,31.407407407407405
2022-05-12,P013,Utilities,6,8,300,10,Humid,Summer,High,Yes,No,Adidas Originals Hoodie,1620.0,2022,5,2022Q2,3,19,0,1,35000.0,6742.428571428572,6387.461538461538,-0.9537142857142857
2022-05-13,P010,Hot Beverages,5,7,180,10,Sunny,Summer,Medium,Yes,No,Adidas Originals Hoodie,810.0,2022,5,2022Q2,4,19,0,1,1620.0,6143.857142857143,6180.888888888889,-0.5
2022-05-18,P037,Clothes,6,9,1500,0,Hot,Summer,Medium,No,No,Adidas Originals Hoodie,9000.0,2022,5,2022Q2,2,20,0,0,810.0,7372.428571428572,6281.571428571428,10.11111111111111
2022-05-21,P022,Travel Necessaries,3,4,2500,0,Sunny,Summer,Medium,No,Yes,Adidas Originals Hoodie,7500.0,2022,5,2022Q2,5,20,0,0,9000.0,8243.857142857143,6323.586206896552,-0.16666666666666663
2022-05-25,P017,Beauty,2,3,199,0,Hot,Summer,Low,No,No,Adidas Originals Hoodie,398.0,2022,5,2022Q2,2,21,0,0,7500.0,7915.428571428572,6126.066666666667,-0.9469333333333333
2022-05-26,P021,Travel Necessaries,4,4,700,0,Hot,Summer,High,No,No,Adidas Originals Hoodie,2800.0,2022,5,2022Q2,3,21,0,0,398.0,8161.142857142857,6202.733333333334,6.035175879396985
2022-06-07,P017,Beauty,6,7,199,15,Rainy,Monsoon,High,Yes,No,Adidas Originals Hoodie,1014.9,2022,6,2022Q2,1,23,0,1,2800.0,3306.128571428572,6016.5633333333335,-0.6375357142857143
2022-06-08,P015,Utilities,1,1,2000,0,Rainy,Monsoon,Low,No,No,Adidas Originals Hoodie,2000.0,2022,6,2022Q2,2,23,0,0,1014.9,3360.414285714286,5663.696666666667,0.9706375012316484
2022-06-17,P036,Beauty,6,7,899,0,Rainy,Monsoon,High,No,No,Adidas Originals Hoodie,5394.0,2022,6,2022Q2,4,24,0,0,2000.0,4015.2714285714287,5676.83,1.697
2022-06-27,P023,Sweets,8,10,600,0,Rainy,Monsoon,Medium,No,No,Adidas Originals Hoodie,4800.0,2022,6,2022Q2,0,26,0,0,5394.0,3415.2714285714287,5187.263333333333,-0.11012235817575089
2022-06-27,P027,Beauty,2,4,100,0,Rainy,Monsoon,Low,No,No,Adidas Originals Hoodie,200.0,2022,6,2022Q2,0,26,0,0,4800.0,2372.414285714286,4693.929999999999,-0.9583333333333334
2022-07-23,P038,Utilities,5,8,450,0,Rainy,Monsoon,High,No,Yes,Adidas Originals Hoodie,2250.0,2022,7,2022Q3,5,29,0,0,200.0,2636.9857142857145,4488.929999999999,10.25
2022-07-26,P002,Clothes,2,2,1499,0,Rainy,Monsoon,Low,No,No,Adidas Originals Hoodie,2998.0,2022,7,2022Q3,1,30,0,0,2250.0,2665.2714285714287,4568.863333333333,0.33244444444444454
2022-08-03,P003,Clothes,4,6,499,0,Humid,Monsoon,Low,No,No,Adidas Originals Hoodie,1996.0,2022,8,2022Q3,2,31,0,0,2998.0,2805.4285714285716,3835.93,-0.3342228152101401
2022-08-03,P017,Beauty,5,6,199,15,Humid,Monsoon,Medium,Yes,No,Adidas Originals Hoodie,845.75,2022,8,2022Q3,2,31,0,1,1996.0,2640.535714285714,3840.788333333333,-0.5762775551102204
2022-08-11,P034,Stationary,10,11,1200,10,Rainy,Monsoon,High,Yes,No,Adidas Originals Hoodie,10800.0,2022,8,2022Q3,3,32,0,1,845.75,3412.8214285714284,4160.788333333333,11.769731007981083
2022-08-18,P022,Travel Necessaries,1,3,2500,0,Rainy,Monsoon,Low,No,No,Adidas Originals Hoodie,2500.0,2022,8,2022Q3,3,33,0,0,10800.0,3084.25,4169.121666666667,-0.7685185185185185
2022-09-01,P024,Sweets,5,5,400,0,Cloudy,Monsoon,Low,No,No,Adidas Originals Hoodie,2000.0,2022,9,2022Q3,3,35,0,0,2500.0,3341.3928571428573,4077.455,-0.19999999999999996
2022-09-07,P020,Stationary,6,8,50,0,Humid,Monsoon,Medium,No,No,Adidas Originals Hoodie,300.0,2022,9,2022Q3,2,36,0,0,2000.0,3062.8214285714284,4071.455,-0.85
2022-09-13,P021,Travel Necessaries,4,4,700,0,Humid,Monsoon,High,No,No,Adidas Originals Hoodie,2800.0,2022,9,2022Q3,1,37,0,0,300.0,3034.535714285714,3924.788333333333,8.333333333333334
2022-09-24,P020,Stationary,4,7,50,0,Rainy,Monsoon,Low,No,Yes,Adidas Originals Hoodie,200.0,2022,9,2022Q3,5,38,0,0,2800.0,2777.964285714286,3908.1216666666664,-0.9285714285714286
2022-10-01,P001,Clothes,1,3,799,0,Sunny,Autumn,Low,No,Yes,Adidas Originals Hoodie,799.0,2022,10,2022Q4,5,39,0,0,200.0,2771.285714285714,3706.7549999999997,2.995
2022-10-03,P015,Utilities,3,3,2000,0,Sunny,Autumn,Medium,No,No,Adidas Originals Hoodie,6000.0,2022,10,2022Q4,0,40,0,0,799.0,2085.5714285714284,3860.088333333333,6.509386733416771
2022-10-06,P022,Travel Necessaries,3,3,2500,0,Cloudy,Autumn,Medium,No,No,Adidas Originals Hoodie,7500.0,2022,10,2022Q4,3,40,0,0,6000.0,2799.8571428571427,4070.088333333333,0.25
2022-10-10,P034,Stationary,6,7,1200,0,Cloudy,Autumn,Medium,No,No,Adidas Originals Hoodie,7200.0,2022,10,2022Q4,0,41,0,0,7500.0,3542.714285714286,4143.421666666666,-0.040000000000000036
2022-10-12,P010,Hot Beverages,10,11,180,0,Cloudy,Autumn,High,No,No,Adidas Originals Hoodie,1800.0,2022,10,2022Q4,2,41,0,0,7200.0,3757.0,4190.088333333333,-0.75
2022-10-14,P028,Sweets,11,13,250,15,Sunny,Autumn,Medium,Yes,No,Adidas Originals Hoodie,2337.5,2022,10,2022Q4,4,41,0,1,1800.0,3690.9285714285716,4221.338333333333,0.29861111111111116
2022-10-16,P020,Stationary,3,6,50,0,Sunny,Autumn,Low,No,Yes,Adidas Originals Hoodie,150.0,2022,10,2022Q4,6,41,0,0,2337.5,3683.785714285714,4136.4383333333335,-0.9358288770053476
2022-10-16,P010,Hot Beverages,7,7,180,0,Sunny,Autumn,Medium,No,Yes,Adidas Originals Hoodie,1260.0,2022,10,2022Q4,6,41,0,0,150.0,3749.6428571428573,4142.4383333333335,7.4
2022-10-23,P034,Stationary,4,4,1200,0,Pleasant,Autumn,Low,No,Yes,Adidas Originals Hoodie,4800.0,2022,10,2022Q4,6,42,0,0,1260.0,3578.214285714286,3135.7716666666665,2.8095238095238093
2022-10-25,P016,Utilities,2,2,35000,0,Pleasant,Autumn,Medium,No,No,Adidas Originals Hoodie,70000.0,2022,10,2022Q4,1,43,0,0,4800.0,12506.785714285714,5415.105,13.583333333333334
2022-10-31,P021,Travel Necessaries,1,3,700,0,Pleasant,Autumn,Low,No,No,Adidas Originals Hoodie,700.0,2022,10,2022Q4,0,44,0,0,70000.0,11578.214285714286,5411.4383333333335,-0.99
2022-10-31,P028,Sweets,5,6,250,0,Pleasant,Autumn,Low,No,No,Adidas Originals Hoodie,1250.0,2022,10,2022Q4,0,44,0,0,700.0,11499.642857142857,5153.105,0.7857142857142858
2022-11-07,P024,Sweets,3,5,400,0,Pleasant,Autumn,Low,No,No,Adidas Originals Hoodie,1200.0,2022,11,2022Q4,0,45,1,0,1250.0,11337.142857142857,4943.105,-0.040000000000000036
2022-11-09,P019,Stationary,3,6,60,0,Pleasant,Autumn,Low,No,No,Adidas Originals Hoodie,180.0,2022,11,2022Q4,2,45,1,0,1200.0,11341.42857142857,4935.838333333333,-0.85
2022-11-11,P026,Clothes,4,5,999,0,Pleasant,Autumn,Low,No,No,Adidas Originals Hoodie,3996.0,2022,11,2022Q4,4,45,1,0,180.0,11732.285714285714,4975.705,21.2
2022-11-15,P025,Clothes,14,14,250,0,Sunny,Autumn,High,No,No,Adidas Originals Hoodie,3500.0,2022,11,2022Q4,1,46,1,0,3996.0,11546.57142857143,5058.541666666667,-0.1241241241241241
2022-11-21,P010,Hot Beverages,2,3,180,0,Pleasant,Autumn,Low,No,No,Adidas Originals Hoodie,360.0,2022,11,2022Q4,0,47,1,0,3500.0,1598.0,5003.875,-0.8971428571428571
2022-11-24,P001,Clothes,6,7,799,20,Pleasant,Autumn,Medium,Yes,No,Adidas Originals Hoodie,3835.2000000000003,2022,11,2022Q4,3,47,1,1,360.0,2045.8857142857144,4951.915,9.653333333333334
2022-11-26,P003,Clothes,3,4,499,0,Cloudy,Autumn,Low,No,Yes,Adidas Originals Hoodie,1497.0,2022,11,2022Q4,5,47,1,0,3835.2000000000003,2081.171428571429,4841.8150000000005,-0.6096683354192741
2022-12-02,P002,Clothes,14,16,1499,0,Cold,Winter,High,No,No,Adidas Originals Hoodie,20986.0,2022,12,2022Q4,4,48,1,0,1497.0,4907.742857142856,5534.681666666667,13.018704074816299
2022-12-14,P002,Clothes,34,37,1499,20,Cold,Winter,High,Yes,No,Adidas Originals Hoodie,40772.8,2022,12,2022Q4,2,50,1,1,20986.0,10706.714285714286,6818.775,0.9428571428571431
2022-12-18,P026,Clothes,10,12,999,0,Cold,Winter,High,No,Yes,Adidas Originals Hoodie,9990.0,2022,12,2022Q4,6,50,1,0,40772.8,11563.0,7051.841666666666,-0.754983714633285
2022-12-20,P024,Sweets,4,5,400,0,Cold,Winter,Low,No,No,Adidas Originals Hoodie,1600.0,2022,12,2022Q4,1,51,1,0,9990.0,11291.57142857143,7038.641666666666,-0.8398398398398399
2022-12-26,P010,Hot Beverages,3,3,180,0,Cold,Winter,Low,No,No,Adidas Originals Hoodie,540.0,2022,12,2022Q4,0,52,1,0,1600.0,11317.285714285714,7028.45,-0.6625
2023-01-09,P033,Clothes,19,21,899,0,Sunny,Winter,High,No,No,Adidas Originals Hoodie,17081.0,2023,1,2023Q1,0,2,0,0,540.0,13209.542857142858,7237.816666666667,30.631481481481483
2023-01-22,P001,Clothes,7,9,799,10,Cold,Winter,Medium,Yes,Yes,Adidas Originals Hoodie,5033.7,2023,1,2023Q1,6,3,0,1,17081.0,13714.785714285714,7322.2733333333335,-0.7053041391019261
2023-01-28,P025,Clothes,22,24,250,0,Cold,Winter,High,No,Yes,Adidas Originals Hoodie,5500.0,2023,1,2023Q1,5,4,0,0,5033.7,11502.5,7438.9400000000005,0.09263563581460965
2023-02-03,P009,Hot Beverages,4,7,120,0,Sunny,Winter,Low,No,No,Adidas Originals Hoodie,480.0,2023,2,2023Q1,4,5,0,0,5500.0,5746.385714285714,7444.9400000000005,-0.9127272727272727
2023-02-07,P009,Hot Beverages,6,7,120,0,Sunny,Winter,Medium,No,No,Adidas Originals Hoodie,720.0,2023,2,2023Q1,1,6,0,0,480.0,4422.1,7375.6066666666675,0.5
2023-02-13,P040,Sweets,10,10,600,5,Sunny,Winter,Medium,Yes,No,Adidas Originals Hoodie,5700.0,2023,2,2023Q1,0,7,0,1,720.0,5007.814285714286,7558.9400000000005,6.916666666666667
2023-02-18,P020,Stationary,4,5,50,0,Sunny,Winter,Low,No,Yes,Adidas Originals Hoodie,200.0,2023,2,2023Q1,5,7,0,0,5700.0,4959.242857142856,7538.973333333333,-0.9649122807017544
2023-02-24,P036,Beauty,1,1,899,0,Cold,Winter,Low,No,No,Adidas Originals Hoodie,899.0,2023,2,2023Q1,4,8,0,0,200.0,2647.5285714285715,7368.9400000000005,3.495
2023-02-24,P022,Travel Necessaries,3,3,2500,0,Cold,Winter,Medium,No,No,Adidas Originals Hoodie,7500.0,2023,2,2023Q1,4,8,0,0,899.0,2999.8571428571427,7368.9400000000005,7.342602892102336
2023-03-02,P036,Beauty,6,8,899,0,Sunny,Summer,High,No,No,Adidas Originals Hoodie,5394.0,2023,3,2023Q1,3,9,0,0,7500.0,2984.714285714286,7308.740000000001,-0.28080000000000005
2023-03-04,P026,Clothes,5,8,999,0,Sunny,Summer,Medium,No,Yes,Adidas Originals Hoodie,4995.0,2023,3,2023Q1,5,9,0,0,5394.0,3629.714285714286,7415.240000000001,-0.07397107897664068
2023-03-06,P024,Sweets,3,5,400,0,Sunny,Summer,Low,No,No,Adidas Originals Hoodie,1200.0,2023,3,2023Q1,0,10,0,0,4995.0,3698.285714285714,7377.323333333334,-0.7597597597597597
2023-03-06,P014,Utilities,3,4,600,0,Sunny,Summer,Medium,No,No,Adidas Originals Hoodie,1800.0,2023,3,2023Q1,0,10,0,0,1200.0,3141.1428571428573,7432.323333333334,0.5
2023-03-08,P003,Clothes,24,27,499,5,Hot,Summer,High,Yes,Yes,Adidas Originals Hoodie,11377.199999999999,2023,3,2023Q1,2,10,0,1,1800.0,4737.885714285714,7769.5633333333335,5.320666666666666
2023-03-28,P038,Utilities,2,2,450,0,Humid,Summer,Medium,No,No,Adidas Originals Hoodie,900.0,2023,3,2023Q1,1,13,0,0,11377.199999999999,4738.028571428571,7639.5633333333335,-0.920894420419787
2023-03-31,P015,Utilities,2,4,2000,0,Hot,Summer,Medium,No,No,Adidas Originals Hoodie,4000.0,2023,3,2023Q1,4,13,0,0,900.0,4238.028571428571,5439.5633333333335,3.4444444444444446
2023-04-04,P017,Beauty,3,5,199,0,Sunny,Summer,Medium,No,No,Adidas Originals Hoodie,597.0,2023,4,2023Q2,1,14,0,0,4000.0,3552.742857142857,5436.13,-0.85075
2023-04-15,P010,Hot Beverages,5,7,180,0,Sunny,Summer,Medium,No,Yes,Adidas Originals Hoodie,900.0,2023,4,2023Q2,5,15,0,0,597.0,2967.742857142857,5424.463333333333,0.5075376884422111
2023-04-15,P038,Utilities,1,2,450,0,Sunny,Summer,Low,No,Yes,Adidas Originals Hoodie,450.0,2023,4,2023Q2,5,15,0,0,900.0,2860.5999999999995,5399.463333333333,-0.5
2023-04-30,P003,Clothes,5,5,499,5,Hot,Summer,Medium,Yes,Yes,Adidas Originals Hoodie,2370.25,2023,4,2023Q2,6,17,0,1,450.0,2942.0642857142852,5472.471666666666,4.267222222222222
2023-05-06,P013,Utilities,5,5,300,0,Hot,Summer,High,No,Yes,Adidas Originals Hoodie,1500.0,2023,5,2023Q2,5,18,0,0,2370.25,1531.0357142857142,5389.2716666666665,-0.36715536335829557
2023-05-06,P033,Clothes,7,9,899,0,Hot,Summer,Medium,No,Yes,Adidas Originals Hoodie,6293.0,2023,5,2023Q2,5,18,0,0,1500.0,2301.464285714286,5482.371666666667,3.195333333333333
2023-05-10,P002,Clothes,6,7,1499,0,Sunny,Summer,Medium,No,No,Adidas Originals Hoodie,8994.0,2023,5,2023Q2,2,19,0,0,6293.0,3014.8928571428573,5770.171666666666,0.42920705545844595
2023-05-14,P028,Sweets,5,8,250,0,Sunny,Summer,Low,No,Yes,Adidas Originals Hoodie,1250.0,2023,5,2023Q2,6,19,0,0,8994.0,3108.1785714285716,5683.998333333333,-0.8610184567489437
2023-05-14,P024,Sweets,5,7,400,25,Sunny,Summer,Low,Yes,Yes,Adidas Originals Hoodie,1500.0,2023,5,2023Q2,6,19,0,1,1250.0,3193.8928571428573,5684.098333333332,0.19999999999999996
2023-05-19,P002,Clothes,6,6,1499,0,Hot,Summer,Medium,No,No,Adidas Originals Hoodie,8994.0,2023,5,2023Q2,4,20,0,0,1500.0,4414.464285714285,5284.365,4.996
2023-05-20,P034,Stationary,6,7,1200,0,Sunny,Summer,Medium,No,Yes,Adidas Originals Hoodie,7200.0,2023,5,2023Q2,5,20,0,0,8994.0,5104.428571428572,4165.2716666666665,-0.19946631087391598
2023-05-25,P028,Sweets,14,17,250,15,Sunny,Summer,High,Yes,No,Adidas Originals Hoodie,2975.0,2023,5,2023Q2,3,21,0,1,7200.0,5315.142857142857,3931.438333333333,-0.5868055555555556
2023-06-02,P034,Stationary,4,7,1200,10,Rainy,Monsoon,Low,Yes,No,Adidas Originals Hoodie,4320.0,2023,6,2023Q2,4,22,0,1,2975.0,5033.285714285715,4022.105,0.4521008403361344
2023-06-05,P009,Hot Beverages,7,9,120,0,Rainy,Monsoon,Medium,No,No,Adidas Originals Hoodie,840.0,2023,6,2023Q2,0,23,0,0,4320.0,3868.4285714285716,4032.105,-0.8055555555555556
2023-06-06,P037,Clothes,7,9,1500,0,Humid,Monsoon,Medium,No,No,Adidas Originals Hoodie,10500.0,2023,6,2023Q2,1,23,0,0,840.0,5189.857142857143,3812.7383333333332,11.5
2023-06-10,P036,Beauty,1,3,899,0,Rainy,Monsoon,Low,No,Yes,Adidas Originals Hoodie,899.0,2023,6,2023Q2,5,23,0,0,10500.0,5104.0,3674.915,-0.9143809523809524
2023-06-23,P038,Utilities,0,0,450,25,Humid,Monsoon,Low,Yes,No,Adidas Originals Hoodie,0.0,2023,6,2023Q2,4,25,0,1,899.0,3819.1428571428573,3491.5816666666665,-1.0
2023-06-26,P028,Sweets,8,11,250,0,Humid,Monsoon,Medium,No,No,Adidas Originals Hoodie,2000.0,2023,6,2023Q2,0,26,0,0,0.0,3076.285714285714,3542.2483333333334,inf
2023-07-25,P022,Travel Necessaries,1,2,2500,0,Rainy,Monsoon,Low,No,No,Adidas Originals Hoodie,2500.0,2023,7,2023Q3,1,30,0,0,2000.0,3008.4285714285716,3601.5816666666665,0.25
2023-07-29,P009,Hot Beverages,6,8,120,0,Rainy,Monsoon,Medium,No,Yes,Adidas Originals Hoodie,720.0,2023,7,2023Q3,5,30,0,0,2500.0,2494.1428571428573,3435.5816666666665,-0.712
2023-08-08,P016,Utilities,5,5,35000,0,Rainy,Monsoon,High,No,No,Adidas Originals Hoodie,175000.0,2023,8,2023Q3,1,32,0,0,720.0,27374.14285714286,9262.248333333333,242.05555555555554
2023-08-12,P014,Utilities,6,9,600,0,Humid,Monsoon,High,No,Yes,Adidas Originals Hoodie,3600.0,2023,8,2023Q3,5,32,0,0,175000.0,26388.428571428572,9352.281666666668,-0.9794285714285714
2023-08-21,P019,Stationary,7,9,60,0,Cloudy,Monsoon,Medium,No,No,Adidas Originals Hoodie,420.0,2023,8,2023Q3,0,34,0,0,3600.0,26320.0,9116.281666666668,-0.8833333333333333
2023-08-29,P017,Beauty,0,1,199,0,Cloudy,Monsoon,Low,No,No,Adidas Originals Hoodie,0.0,2023,8,2023Q3,1,35,0,0,420.0,26320.0,8936.481666666667,-1.0
2023-08-31,P025,Clothes,9,11,250,0,Humid,Monsoon,Medium,No,No,Adidas Originals Hoodie,2250.0,2023,8,2023Q3,3,35,0,0,0.0,26355.714285714286,8844.981666666667,inf
2023-09-02,P019,Stationary,11,14,60,0,Rainy,Monsoon,High,No,Yes,Adidas Originals Hoodie,660.0,2023,9,2023Q3,5,35,0,0,2250.0,26092.85714285714,8826.981666666667,-0.7066666666666667
2023-09-06,P013,Utilities,3,6,300,0,Rainy,Monsoon,Medium,No,No,Adidas Originals Hoodie,900.0,2023,9,2023Q3,2,36,0,0,660.0,26118.571428571428,8796.981666666667,0.36363636363636354
2023-09-09,P014,Utilities,7,7,600,10,Rainy,Monsoon,High,Yes,Yes,Adidas Originals Hoodie,3780.0,2023,9,2023Q3,5,36,0,1,900.0,1658.5714285714287,8543.741666666667,3.2
2023-09-18,P010,Hot Beverages,5,8,180,10,Rainy,Monsoon,Medium,Yes,No,Adidas Originals Hoodie,810.0,2023,9,2023Q3,0,38,0,1,3780.0,1260.0,8540.741666666667,-0.7857142857142857
2023-09-19,P022,Travel Necessaries,3,4,2500,0,Rainy,Monsoon,Medium,No,No,Adidas Originals Hoodie,7500.0,2023,9,2023Q3,1,38,0,0,810.0,2271.4285714285716,8657.408333333333,8.25925925925926
2023-09-19,P010,Hot Beverages,5,7,180,0,Rainy,Monsoon,Medium,No,No,Adidas Originals Hoodie,900.0,2023,9,2023Q3,1,38,0,0,7500.0,2400.0,8667.508333333333,-0.88
2023-09-24,P016,Utilities,2,5,35000,0,Humid,Monsoon,Medium,No,Yes,Adidas Originals Hoodie,70000.0,2023,9,2023Q3,6,38,0,0,900.0,12078.57142857143,10970.841666666667,76.77777777777777
2023-09-26,P027,Beauty,2,5,100,0,Rainy,Monsoon,Low,No,No,Adidas Originals Hoodie,200.0,2023,9,2023Q3,1,39,0,0,70000.0,12012.857142857143,10962.508333333333,-0.9971428571428571
2023-10-02,P025,Clothes,19,22,250,20,Sunny,Autumn,High,Yes,No,Adidas Originals Hoodie,3800.0,2023,10,2023Q4,0,40,0,1,200.0,12427.142857142857,11010.166666666666,18.0
2023-10-07,P026,Clothes,2,4,999,0,Sunny,Autumn,Low,No,Yes,Adidas Originals Hoodie,1998.0,2023,10,2023Q4,5,40,0,0,3800.0,12172.57142857143,11026.766666666666,-0.4742105263157895
2023-10-21,P038,Utilities,2,2,450,0,Cloudy,Autumn,Medium,No,Yes,Adidas Originals Hoodie,900.0,2023,10,2023Q4,5,42,0,0,1998.0,12185.42857142857,10847.0,-0.5495495495495495
2023-10-24,P001,Clothes,16,18,799,0,Sunny,Autumn,High,No,Yes,Adidas Originals Hoodie,12784.0,2023,10,2023Q4,1,43,0,0,900.0,12940.285714285714,10973.333333333334,13.204444444444444
2023-10-31,P036,Beauty,3,4,899,0,Pleasant,Autumn,Medium,No,No,Adidas Originals Hoodie,2697.0,2023,10,2023Q4,1,44,0,0,12784.0,13197.0,11021.566666666668,-0.7890331664580725
2023-11-04,P036,Beauty,8,10,899,0,Sunny,Autumn,High,No,Yes,Adidas Originals Hoodie,7192.0,2023,11,2023Q4,5,44,1,0,2697.0,4224.428571428572,11211.3,1.6666666666666665
2023-11-05,P021,Travel Necessaries,4,6,700,10,Pleasant,Autumn,High,Yes,Yes,Adidas Originals Hoodie,2520.0,2023,11,2023Q4,6,44,1,1,7192.0,4555.857142857143,10995.5,-0.649610678531702
2023-11-06,P024,Sweets,12,14,400,0,Pleasant,Autumn,Medium,No,No,Adidas Originals Hoodie,4800.0,2023,11,2023Q4,0,45,1,0,2520.0,4698.714285714285,10915.5,0.9047619047619047
2023-11-06,P038,Utilities,1,2,450,0,Pleasant,Autumn,Low,No,No,Adidas Originals Hoodie,450.0,2023,11,2023Q4,0,45,1,0,4800.0,4477.571428571428,10831.333333333334,-0.90625
2023-11-17,P013,Utilities,3,3,300,15,Pleasant,Autumn,Medium,Yes,No,Adidas Originals Hoodie,765.0,2023,11,2023Q4,4,46,1,1,450.0,4458.285714285715,10712.833333333334,0.7
